user_id,organizer_id,group_type,system_type,rest_id,rating,group_size
14640,14639,2,RI,5,4,2
14639,14639,2,RI,5,3,2
14640,14640,1,RI,29,5,2
14639,14640,1,RI,29,5,2
14641,14642,2,I,29,5,3
14642,14642,2,I,29,5,3
14643,14642,2,I,29,4,3
14641,14643,1,I,5,4,3
14642,14643,1,I,5,5,3
14643,14643,1,I,5,5,3
14644,14644,3,No,5,5,4
14645,14644,3,No,5,4,4
14646,14644,3,No,5,4,4
14647,14644,3,No,5,4,4
14644,14645,2,No,5,5,4
14645,14645,2,No,5,4,4
14646,14645,2,No,5,4,4
14647,14645,2,No,5,4,4
14644,14647,3,R,5,5,4
14645,14647,3,R,5,4,4
14646,14647,3,R,5,4,4
14647,14647,3,R,5,4,4
14648,14648,2,R,5,4,5
14650,14648,2,R,5,4,5
14651,14648,2,R,5,5,5
14652,14648,2,R,5,5,5
14648,14649,1,RI,5,4,5
14650,14649,1,RI,5,4,5
14651,14649,1,RI,5,5,5
14652,14649,1,RI,5,5,5
14648,14651,2,I,5,4,5
14650,14651,2,I,5,4,5
14651,14651,2,I,5,5,5
14652,14651,2,I,5,5,5
14648,14652,1,I,5,4,5
14650,14652,1,I,5,4,5
14651,14652,1,I,5,5,5
14652,14652,1,I,5,5,5
14653,14653,3,I,5,2,2
14654,14653,3,I,5,4,2
14656,14657,2,R,29,4,3
14657,14657,2,R,29,4,3
14655,14657,2,R,29,5,3
14658,14658,1,R,22,4,4
14659,14658,1,R,22,3,4
14660,14658,1,R,22,4,4
14661,14658,1,R,22,3,4
14658,14659,3,RI,5,5,4
14659,14659,3,RI,5,4,4
14660,14659,3,RI,5,4,4
14661,14659,3,RI,5,4,4
14658,14660,2,RI,29,5,4
14659,14660,2,RI,29,5,4
14660,14660,2,RI,29,5,4
14661,14660,2,RI,29,5,4
14658,14661,1,I,29,5,4
14659,14661,1,I,29,5,4
14660,14661,1,I,29,5,4
14661,14661,1,I,29,5,4
14662,14662,3,I,29,5,5
14664,14662,3,I,29,3,5
14665,14662,3,I,29,4,5
14666,14662,3,I,29,5,5
14662,14663,2,I,26,4,5
14663,14663,2,I,26,4,5
14664,14663,2,I,26,5,5
14665,14663,2,I,26,4,5
14666,14663,2,I,26,4,5
14662,14666,2,R,5,3,5
14664,14666,2,R,5,4,5
14665,14666,2,R,5,4,5
14666,14666,2,R,5,5,5
14667,14667,1,R,32,2,2
14668,14667,1,R,32,4,2
14670,14669,2,RI,32,3,3
14671,14669,2,RI,32,4,3
14672,14672,2,I,18,5,4
14673,14672,2,I,18,2,4
14674,14672,2,I,18,4,4
14675,14672,2,I,18,5,4
14672,14674,3,No,4,4,4
14673,14674,3,No,4,4,4
14674,14674,3,No,4,5,4
14675,14674,3,No,4,3,4
14672,14675,2,No,18,5,4
14673,14675,2,No,18,2,4
14674,14675,2,No,18,4,4
14675,14675,2,No,18,5,4
14680,14677,3,R,5,3,5
14680,14678,2,R,5,3,5
14680,14679,1,RI,29,5,5
14683,14684,2,No,5,3,3
14684,14684,2,No,5,4,3
14685,14684,2,No,5,3,3
14688,14686,3,R,5,4,4
14689,14686,3,R,5,2,4
14686,14686,3,R,5,4,4
14687,14686,3,R,5,5,4
14688,14689,3,RI,15,5,4
14689,14689,3,RI,15,5,4
14686,14689,3,RI,15,5,4
14687,14689,3,RI,15,4,4
14691,14690,2,RI,5,5,5
14692,14690,2,RI,5,3,5
14693,14690,2,RI,5,2,5
14694,14690,2,RI,5,5,5
14691,14691,1,I,5,5,5
14692,14691,1,I,5,3,5
14693,14691,1,I,5,2,5
14694,14691,1,I,5,5,5
14691,14692,3,I,5,5,5
14692,14692,3,I,5,3,5
14693,14692,3,I,5,2,5
14694,14692,3,I,5,5,5
14691,14693,2,I,18,2,5
14692,14693,2,I,18,2,5
14693,14693,2,I,18,2,5
14694,14693,2,I,18,5,5
14697,14697,1,R,6,4,3
14698,14697,1,R,6,4,3
14697,14698,3,R,29,4,3
14698,14698,3,R,29,2,3
14697,14699,2,RI,29,4,3
14698,14699,2,RI,29,5,3
14701,14700,1,RI,5,5,4
14702,14700,1,RI,5,4,4
14701,14703,1,I,5,5,4
14702,14703,1,I,5,4,4
14704,14704,3,No,17,5,5
14705,14704,3,No,17,4,5
14706,14704,3,No,17,4,5
14707,14704,3,No,17,4,5
14708,14704,3,No,17,5,5
14704,14706,1,R,18,4,5
14705,14706,1,R,18,3,5
14706,14706,1,R,18,1,5
14707,14706,1,R,18,2,5
14708,14706,1,R,18,4,5
14704,14707,3,R,5,3,5
14705,14707,3,R,5,5,5
14706,14707,3,R,5,5,5
14707,14707,3,R,5,5,5
14708,14707,3,R,5,4,5
14704,14708,2,R,18,4,5
14705,14708,2,R,18,3,5
14706,14708,2,R,18,1,5
14707,14708,2,R,18,2,5
14708,14708,2,R,18,4,5
14709,14709,1,RI,5,5,2
14710,14709,1,RI,5,4,2
14709,14710,3,RI,5,5,2
14710,14710,3,RI,5,4,2
14712,14711,2,I,22,3,3
14713,14711,2,I,22,4,3
14711,14711,2,I,22,5,3
14712,14712,1,I,5,5,3
14713,14712,1,I,5,3,3
14711,14712,1,I,5,5,3
14712,14713,3,I,18,4,3
14713,14713,3,I,18,5,3
14711,14713,3,I,18,5,3
14714,14715,1,No,29,4,4
14716,14715,1,No,29,5,4
14714,14716,3,R,29,4,4
14716,14716,3,R,29,5,4
14714,14717,2,R,5,4,4
14716,14717,2,R,5,2,4
14720,14718,1,R,29,5,5
14718,14718,1,R,29,5,5
14719,14718,1,R,29,4,5
14720,14719,3,RI,4,5,5
14722,14719,3,RI,4,3,5
14718,14719,3,RI,4,5,5
14719,14719,3,RI,4,3,5
14720,14720,2,RI,29,5,5
14718,14720,2,RI,29,5,5
14719,14720,2,RI,29,4,5
14720,14721,1,I,5,3,5
14722,14721,1,I,5,5,5
14718,14721,1,I,5,5,5
14719,14721,1,I,5,4,5
14730,14730,3,No,4,5,3
14731,14730,3,No,4,4,3
14732,14730,3,No,4,3,3
14730,14731,2,R,5,4,3
14731,14731,2,R,5,5,3
14732,14731,2,R,5,3,3
14738,14738,1,I,18,5,5
14741,14738,1,I,18,2,5
14743,14742,3,R,5,5,2
14744,14745,3,RI,29,5,3
14745,14745,3,RI,29,4,3
14746,14745,3,RI,29,5,3
14747,14747,1,I,24,3,4
14749,14747,1,I,24,3,4
14750,14747,1,I,24,4,4
14747,14748,3,I,4,4,4
14749,14748,3,I,4,5,4
14750,14748,3,I,4,5,4
14747,14749,2,No,29,4,4
14749,14749,2,No,29,5,4
14750,14749,2,No,29,3,4
14747,14750,1,No,18,3,4
14749,14750,1,No,18,3,4
14750,14750,1,No,18,3,4
14760,14758,2,I,10,3,3
14758,14758,2,I,10,2,3
14770,14770,2,No,29,5,2
14771,14770,2,No,29,5,2
14772,14772,3,R,26,5,3
14773,14772,3,R,26,4,3
14772,14773,2,R,5,4,3
14773,14773,2,R,5,4,3
14779,14780,1,No,5,3,5
14780,14780,1,No,5,5,5
14781,14780,1,No,5,4,5
14782,14780,1,No,5,4,5
14783,14780,1,No,5,3,5
14779,14783,1,R,32,3,5
14780,14783,1,R,32,2,5
14781,14783,1,R,32,5,5
14782,14783,1,R,32,2,5
14783,14783,1,R,32,2,5
14800,14800,2,No,5,5,3
14801,14800,2,No,5,4,3
14802,14800,2,No,5,5,3
14800,14801,1,R,29,4,3
14801,14801,1,R,29,5,3
14802,14801,1,R,29,5,3
14800,14802,3,R,5,5,3
14801,14802,3,R,5,4,3
14802,14802,3,R,5,5,3
14803,14803,2,R,5,5,4
14804,14803,2,R,5,4,4
14806,14803,2,R,5,5,4
14803,14806,2,I,26,2,4
14804,14806,2,I,26,2,4
14806,14806,2,I,26,4,4
14807,14814,3,R,29,5,5
14809,14814,3,R,29,5,5
14899,14884,3,RI,29,5,3
14884,14884,3,RI,29,5,3
14902,14884,3,RI,29,4,3
14905,14905,3,I,5,5,4
14906,14905,3,I,5,3,4
14905,14906,2,I,5,5,4
14906,14906,2,I,5,3,4
14905,14907,1,No,5,5,4
14906,14907,1,No,5,3,4
14905,14908,3,No,21,3,4
14906,14908,3,No,21,1,4
14909,14909,2,R,5,5,3
14911,14909,2,R,5,4,3
14909,14911,1,R,24,4,3
14911,14911,1,R,24,3,3
14909,14889,3,R,26,4,3
14911,14889,3,R,26,3,3
14932,14912,3,R,28,3,5
14935,14912,3,R,28,2,5
20734,20734,1,No,18,2,2
20735,20734,1,No,18,5,2
20734,20735,1,No,26,4,2
20735,20735,1,No,26,4,2
20738,20738,1,No,32,2,2
20739,20738,1,No,32,1,2
20788,20788,2,I,31,4,2
20789,20788,2,I,31,3,2
20788,20789,2,I,18,3,2
20789,20789,2,I,18,4,2
20797,20797,2,I,32,4,2
20798,20797,2,I,32,5,2
20797,20798,2,I,5,3,2
20798,20798,2,I,5,4,2
